id,title,description,severity,package,cvss_score,fix_version,target,reference,published_date,detected_by,tool,tool_count,confidence_score,affected_assets,in_kev,kev_ransomware,kev_due_date,epss_score,epss_percentile,has_exploit,asset_criticality,asset_env,asset_owner,internet_facing,asset_tags,pci_scope,gdpr_scope,requires_auth,network_exposed,in_blast_radius,source_asset,affected_asset_count,crown_jewel_reachable,nearest_critical_asset_hops,shortest_attack_path,blast_radius_score,severity_score,cvss_numeric,epss_numeric,time_decay_factor,rule_score,ml_risk_score_oof,ml_oof_fold,xgb_score,lgb_score,ml_risk_score,model_uncertainty,graph_boost,risk_score,risk_score_oof,risk_probability_calibrated,calibration_bucket,top_shap_drivers,priority,priority_for_review,is_false_positive,fp_reason
CVE-2024-56337,Time-of-check Time-of-use (TOCTOU) Race Condition,"## Overview
[org.apache.tomcat.embed:tomcat-embed-core](https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core) is a Core Tomcat implementation.

Affected versions of this package are vulnerable to Time-of-check Time-of-use (TOCTOU) Race Condition due to imcomplete mitigation advice associated with [CVE-2024-50379](https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-8523184) in the file-handling process with servlet write enabled.

In addition to upgrading to the fixed version, users are advised to apply the following mitigations, depending on which version of Java they are using with Tomcat :

1) running on Java 8 or Java 11: the system property `sun.io.useCanonCaches` must be explicitly set to false (it defaults to true)

2) running on Java 17: the system property `sun.io.useCanonCaches`, if set, must be set to false (it defaults to false)

3) running on Java 21 onwards: no further configuration is required (the system property and the problematic cache have been removed)
## Remediation
Upgrade `org.apache.tomcat.embed:tomcat-embed-core` to version 9.0.98, 10.1.34, 11.0.2 or higher.
## References
- [Additional Protection](https://github.com/apache/tomcat/commit/0c75cd1e3ac85944fb8ecbcf88cc38e9fa1fe4d5)
- [Apache Thread](https://lists.apache.org/thread/b2b9qrgjrz1kvo4ym8y2wkfdvwoq6qbp)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-10.html#Fixed_in_Apache_Tomcat_10.1.34)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-11.html#Fixed_in_Apache_Tomcat_11.0.2)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.98)
- [Follow-up PR](https://github.com/apache/tomcat/pull/858)
- [GitHub Commit](https://github.com/apache/tomcat/commit/43b507ebac9d268b1ea3d908e296cc6e46795c00)
- [GitHub Commit](https://github.com/apache/tomcat/commit/631500b0c9b2a2a2abb707e3de2e10a5936e5d41)
- [PoC](https://github.com/SleepingBag945/CVE-2024-50379)
",CRITICAL,org.apache.tomcat.embed:tomcat-embed-core,9.2,9.0.98,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",0,Unknown,,0.09028,0.94913,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],46.4,90,9.2,0.09028,0.8,96.768,67.35242877110254,1,78.99952,56.90998323901998,67.95475129358226,22.089536760980025,0,79.5,79.1,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 13.453, ""feature_value"": 9.2, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 9.972, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 7.545, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 3.507, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 2.072, ""feature_value"": 0.0903, ""direction"": ""raises_risk""}]",P2_72H,31.43119376856469,0,
CVE-2024-52316,Uncaught Exception,"## Overview
[org.apache.tomcat.embed:tomcat-embed-core](https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core) is a Core Tomcat implementation.

Affected versions of this package are vulnerable to Uncaught Exception due to the custom Jakarta Authentication `ServerAuthContext` component which may throw an exception during the authentication process without setting an HTTP status to indicate failure. An attacker can gain unauthorized access by exploiting this unchecked error condition.

**Note:**

This is only exploitable if Tomcat is configured to use a custom Jakarta Authentication
`ServerAuthContext` component that behaves in this way. According to the maintainers, no such cases are known.
## PoC
```python
import requests

# Target server configuration
TARGET_URL = ""http://example.com/login""  # Replace with your target's authentication URL
TEST_HEADERS = {
    ""Content-Type"": ""application/json""
}
TEST_PAYLOAD = {
    ""username"": ""test_user"",  # Sample username
    ""password"": ""invalid_password""  # Invalid password for testing
}

def check_cve_2024_52316(target_url):
    """"""
    Test for CVE-2024-52316 vulnerability by sending crafted authentication requests.

    Args:
        target_url (str): The URL of the authentication endpoint to test.
    """"""
    try:
        print(f""[*] Sending test request to {target_url}"")
        # Send a POST request with the test payload
        response = requests.post(target_url, json=TEST_PAYLOAD, headers=TEST_HEADERS, timeout=5)
        
        # Analyze the server's response
        if response.status_code in [401, 403]:
            print(f""[SAFE] The server returned an expected HTTP status code: {response.status_code}"")
        elif response.status_code == 200:
            print(f""[VULNERABLE] Potential CVE-2024-52316 detected! Server returned status code: {response.status_code}"")
        else:
            print(f""[INFO] Unexpected HTTP status code: {response.status_code}"")
            print(""Response content:"", response.text)
    except requests.exceptions.RequestException as e:
        print(f""[ERROR] Failed to connect to the target: {e}"")

if __name__ == ""__main__"":
    print(""[START] CVE-2024-52316 Detection Script"")
    check_cve_2024_52316(TARGET_URL)
```
## Remediation
Upgrade `org.apache.tomcat.embed:tomcat-embed-core` to version 9.0.96, 10.1.31, 11.0.0 or higher.
## References
- [Apache Advisory](https://lists.apache.org/thread/lopzlqh91jj9n334g02om08sbysdb928)
- [GitHub Commit](https://github.com/apache/tomcat/commit/6d097a66746635df6880fe7662a792156b0eca14)
- [GitHub Commit](https://github.com/apache/tomcat/commit/7532f9dc4a8c37ec958f79dc82c4924a6c539223)
- [GitHub Commit](https://github.com/apache/tomcat/commit/acc2f01395f895980f5d8a64573fcc1bade13369)
- [PoC](http://github.com/TAM-K592/CVE-2024-52316)
",CRITICAL,org.apache.tomcat.embed:tomcat-embed-core,9.2,9.0.96,tn.esprit.spring.services:timesheet-devops@1.0,,,['Snyk'],Snyk,1,0.8,['tn.esprit.spring.services:timesheet-devops@1.0'],0,Unknown,,0.06246,0.93061,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],45.8,90,9.2,0.06246,0.8,90.3168,63.71988034002246,0,78.00092,44.44070014804775,61.22081165239302,33.56021985195224,0,72.9,74.4,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 16.425, ""feature_value"": 9.2, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 10.211, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 8.043, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 2.415, ""feature_value"": 0.0625, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.54, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P2_72H,35.14635342169402,0,
GHSA-7phw-cxx7-q9vq,Spring Framework is vulnerable to security bypass via mvcRequestMatcher pattern mismatch,Spring Framework is vulnerable to security bypass via mvcRequestMatcher pattern mismatch,CRITICAL,spring-webmvc,9.1,5.3.26,spring-webmvc v5.3.9,https://github.com/advisories/GHSA-7phw-cxx7-q9vq,,['Grype'],Grype,1,0.5,['spring-webmvc v5.3.9'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.1,0.0,0.8,80.63999999999999,58.377032633221816,3,66.99731,48.791234771186815,57.894270797458645,18.206075228813184,0,67.0,67.3,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 15.231, ""feature_value"": 9.1, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 9.081, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 5.677, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": -3.886, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.569, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P3_7D,26.471318853644185,0,
GHSA-4wrc-f8pq-fpqp,Pivotal Spring Framework contains unsafe Java deserialization methods,Pivotal Spring Framework contains unsafe Java deserialization methods,CRITICAL,spring-web,9.8,6.0.0,spring-web v5.3.9,https://github.com/advisories/GHSA-4wrc-f8pq-fpqp,,['Grype'],Grype,1,0.5,['spring-web v5.3.9'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,67.9925595220464,0,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,73.1,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
GHSA-36p3-wjmg-h94x,Remote Code Execution in Spring Framework,Remote Code Execution in Spring Framework,CRITICAL,spring-webmvc,9.8,5.3.18,spring-webmvc v5.3.9,https://github.com/advisories/GHSA-36p3-wjmg-h94x,,['Grype'],Grype,1,0.5,['spring-webmvc v5.3.9'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,,-1,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
GHSA-g5h3-w546-pj7f,Spring Boot Security Bypass with Wildcard Pattern Matching on Cloud Foundry,Spring Boot Security Bypass with Wildcard Pattern Matching on Cloud Foundry,CRITICAL,spring-boot-actuator-autoconfigure,9.8,2.5.15,spring-boot-actuator-autoconfigure v2.5.4,https://github.com/advisories/GHSA-g5h3-w546-pj7f,,['Grype'],Grype,1,0.5,['spring-boot-actuator-autoconfigure v2.5.4'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,49.25208572266956,2,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,61.8,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
GHSA-83qj-6fr2-vhqg,Apache Tomcat: Potential RCE and/or information disclosure and/or information corruption with partia,Apache Tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT,CRITICAL,tomcat-embed-core,9.8,9.0.99,tomcat-embed-core v9.0.52,https://github.com/advisories/GHSA-83qj-6fr2-vhqg,,['Grype'],Grype,1,0.5,['tomcat-embed-core v9.0.52'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,47.87663250932998,4,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,61.0,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
CVE-2022-42004,jackson-databind: use of deeply nested arrays,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization.",HIGH,com.fasterxml.jackson.core:jackson-databind,7.5,"2.12.7.1, 2.13.4",Java,"https://access.redhat.com/security/cve/CVE-2022-42004, https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=50490",2022-10-02T05:15:09.237Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.02766,0.85291,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],38.9,70,7.5,0.02766,0.25,21.952,22.963525380196632,3,-7.323042e-05,31.223751535275607,15.611839152428848,31.223824765695607,0,18.1,22.6,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -35.386, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -4.339, ""feature_value"": 7.5, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -4.085, ""feature_value"": 0.0277, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.277, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.777, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P5_BACKLOG,20.29546412857646,0,
CVE-2022-45143,Improper Input Validation,"## Overview
[org.apache.tomcat.embed:tomcat-embed-core](https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core) is a Core Tomcat implementation.

Affected versions of this package are vulnerable to Improper Input Validation such that the `JsonErrorReportValve` does not escape the type, message or description values. In some circumstances these are constructed from user provided data and it is possible for users to supply values that invalidate or manipulate the JSON output.
## Remediation
Upgrade `org.apache.tomcat.embed:tomcat-embed-core` to version 8.5.84, 9.0.69, 10.1.2 or higher.
## References
- [Apache Thread](https://lists.apache.org/thread/yqkd183xrw3wqvnpcg3osbcryq85fkzj)
- [GitHub Commit](https://github.com/apache/tomcat/commit/1f50bff8daabb48c5f15398689988f26aac6ec56)
- [Tomcat Security Releases](https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.69)
",HIGH,org.apache.tomcat.embed:tomcat-embed-core,7.5,8.5.84,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",0,Unknown,,0.02505,0.83626,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],38.9,70,7.5,0.02505,0.8,75.26400000000001,44.97967946951908,1,58.99686,53.87220946033171,56.43453498224105,5.124650539668288,0,64.0,57.1,0.848,VERY_HIGH,"[{""feature"": ""time_decay_factor"", ""impact"": 6.405, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 5.863, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 5.602, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.251, ""feature_value"": 7.5, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": 0.946, ""feature_value"": 0.025, ""direction"": ""raises_risk""}]",P3_7D,19.492685764506458,0,
CVE-2022-42003,jackson-databind: deep wrapper array nesting wrt UNWRAP_SINGLE_VALUE_ARRAYS,"In FasterXML jackson-databind before versions 2.13.4.1 and 2.12.17.1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled.",HIGH,com.fasterxml.jackson.core:jackson-databind,7.5,"2.12.7.1, 2.13.4.2",Java,"https://access.redhat.com/security/cve/CVE-2022-42003, https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=51020",2022-10-02T05:15:09.07Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.02766,0.85291,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],38.9,70,7.5,0.02766,0.25,21.952,22.06958171237209,2,-7.323042e-05,31.223751535275607,15.611839152428848,31.223824765695607,0,18.1,22.0,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -35.386, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -4.339, ""feature_value"": 7.5, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -4.085, ""feature_value"": 0.0277, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.277, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.777, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P5_BACKLOG,20.29546412857646,0,
CVE-2022-1471,SnakeYaml: Constructor Deserialization Remote Code Execution,SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization. We recommend upgrading to version 2.0 and beyond.,HIGH,org.yaml:snakeyaml,9.8,2.0,Java,"http://packetstormsecurity.com/files/175095/PyTorch-Model-Server-Registration-Deserialization-Remote-Code-Execution.html, http://www.openwall.com/lists/oss-security/2023/11/19/1",2022-12-01T11:15:10.553Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.99569,0.99944,1,7,prod,platform,0,['internal-service'],0,0,1,0,1,timesheet-devops-app,1,0,99,[],58.3,70,9.8,0.99569,0.25,31.36,31.056401965541266,0,0.000111328714,44.44070014804775,22.22040573838108,44.440588819333755,5,30.9,36.2,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -30.316, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -7.935, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -5.706, ""feature_value"": 0.9957, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.014, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.376, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P4_30D,28.8864161311812,0,
CVE-2022-22968,Framework: Data Binding Rules Vulnerability,"In Spring Framework versions 5.3.0 - 5.3.18, 5.2.0 - 5.2.20, and older unsupported versions, the patterns for disallowedFields on a DataBinder are case sensitive which means a field is not effectively protected unless it is listed with both upper and lower case for the first character of the field, including upper and lower case for the first character of all nested fields within the property path.",HIGH,org.springframework:spring-context,5.3,"5.3.19, 5.2.21.RELEASE",Java,"https://access.redhat.com/security/cve/CVE-2022-22968, https://github.com/spring-projects/spring-framework",2022-04-14T21:15:08.643Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.05666,0.92451,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],39.5,70,5.3,0.05666,0.25,21.952,26.25172415627013,2,22.99987,23.523075019454343,23.261472659873657,0.5232050194543412,0,22.7,24.5,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -26.45, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": 6.369, ""feature_value"": 5.3, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 3.202, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.579, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -0.866, ""feature_value"": 0.0567, ""direction"": ""lowers_risk""}]",P5_BACKLOG,7.240044307689268,0,
CVE-2022-22970,springframework: DoS via data binding to multipartFile or servlet part,"In spring framework versions prior to 5.3.20+ , 5.2.22+ and old unsupported versions, applications that handle file uploads are vulnerable to DoS attack if they rely on data binding to set a MultipartFile or javax.servlet.Part to a field in a model object.",HIGH,org.springframework:spring-beans,5.3,"5.2.22.RELEASE, 5.3.20",Java,"https://access.redhat.com/security/cve/CVE-2022-22970, https://github.com/spring-projects/spring-framework",2022-05-12T20:15:15.037Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.01962,0.78956,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],38.7,70,5.3,0.01962,0.25,21.952,31.67505755015023,4,23.001774,23.523075019454343,23.26242442684143,0.5213010194543415,0,22.7,27.8,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -24.717, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.097, ""feature_value"": 70.0, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": 2.738, ""feature_value"": 5.3, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.612, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": 1.181, ""feature_value"": 0.0196, ""direction"": ""raises_risk""}]",P5_BACKLOG,7.2393778377796,0,
